Room Number,Description,Classroom Setup,Capacity
008-103,"Bury Hall, Building 8,  Room 103",Seminar Seating,22
008-107,"Bury Hall, Building 8, Room 107",Conference Style - Square,30
008-109,"Bury Hall, Building 8, Room 109",Conference Style - Round,20
011-201,"Ashurst Auditorium Building, Room 201",Auditorium,60
012-103,"Geology Building, Room 103",Tiered Seating - Fixed,124
012-104,"Geology Building, Room 104",Computer Stations,30
012-109,"Geology Building, Room 109",Classroom Rows,40
012-111,"Geology Building, Room 111",Classroom Rows,40
012-204,"Geology Building, Room 204",Computer Stations,15
012-223,"Geology Building, Room 223",Tiered Seating,68
012-224,"Geology Building, Room 224",Science Lab Workstations,15
013-304,"Geology Annex, Room 304",Seminar Seating,35
015-113,"Riles Building, Room 113",Classroom Rows,26
015-203,"Riles Building, Room 203",Traditional Classroom,35
015-205,"Riles Building, Room 205",Traditional Classroom,35
015-309,"Riles Building, Room 309",Traditional Classroom,30
016-101,"Communications Building, Room 101",Radio Station Room,35
016-103,"Communications Building, Room 103",Photography Lab,18
016-107,"Communications Building, Room 107",Computer Stations,25
016-109,"Communications Building, Room 109",Computer Stations,28
016-110,"Communications Building, Room 110",Computer Stations,24
016-112,"Communications Building, Room 112",Computer Stations,24
016-114,"Communications Building, Room 114",Computer Stations,10
016-118,"Communications Building, Room 118",Tiered Seating - Fixed,50
016-119,"Communications Building, Room 119",Tiered Seating - Fixed,98
016-226,"Communications Building, Room 226",Traditional Classroom,45
016-228,"Communications Buidling, Room 228",Traditional Classroom,42
016-230,"Communications Building, Room 230",Traditional Classroom,31
016-232,"Communications Building, Room 232",Traditional Classroom,28
016-236,"Communications Building, Room 236",Traditional Classroom,35
016-238,"Communications Building, Room 238",Computer Stations,20
016-240,"Communications Building, Room 240",Computer Stations,20
016-242,"Communications Building, Room 242",Traditional Classroom,56
016-244,"Communications Buidling, Room 244",Traditional Classroom,50
016-246,"Communications Building, Room 246",Traditional Classroom,50
016-304,"Communications Building, Room 304",Seminar Seating,22
