Room Number,Description,Classroom Setup,Capacity
012-111,"Geology Building, Room 111",Classroom Rows,40
015-113,"Riles Building, Room 113",Classroom Rows,26
015-309,"Riles Building, Room 309",Traditional Classroom,30
016-101,"Communications Building, Room 101",Radio Station Room,35
016-109,"Communications Building, Room 109",Computer Stations,28
016-226,"Communications Building, Room 226",Traditional Classroom,45
016-242,"Communications Building, Room 242",Traditional Classroom,56
016-244,"Communications Buidling, Room 244",Traditional Classroom,50
016-246,"Communications Building, Room 246",Traditional Classroom,50
016-304,"Communications Building, Room 304",Seminar Seating,22
016-306,"Communications Building, Room 306",Traditional Classroom,25
017-111,"Science Laboratory, Room 111",Conference Style - Square,20
017-201,"Science Laboratory, Room 201",Instructional Lab - Wet,16
017-205,"Science Laboratory, Room 205",Instructional Lab - Wet,16
017-209,"Science Laboratory, Room 209",Instructional Lab - Wet,18
017-224,"Science Laboratory, Room 224",Instructional Lab - Wet,20
018-110,"Liberal Arts Building, Room 110",Conference Style - Square. No Technology,20
018-111,"Liberal Arts Building, Room 111A",Conference Style - Round,30
018-207,"Liberal Arts Building, Room 207",Traditional Classroom,25
018-219,"Liberal Arts Building, Room 219",Traditional Classroom,25
019-112,"Physical Sciences Building, Room 112",Instructional Lab - Wet,17
019-313,"Physical Sciences Building, Room 313",Instructional Lab - Dry,24
019-316,"Physical Sciences Building, Room 316",Instructional Lab - Dry,24
021-124,"Biological Sciences Building, Room 124",Instructional Lab - Dry,24
021-256,"Biological Sciences Building, Room 256",Tiered Seating - Fixed,140
021-265,"Biological Sciences Building, Room 265",Tiered Seating - Fixed,140
023-103,"Babbitt Academic Annex Building, Room 103",Seminar Seating,25
023-107,"Babbitt Academic Annex Building, Room 107",Computer Stations,25
023-109,"Babbitt Academic Annex Building, Room 109",Seminar Seating,25
023-112,"Babbitt Academic Annex Building, Room 112",Seminar Seating,23
023-223,"Babbitt Academic Annex Building, Room 223",Seminar Seating,25
023-226,"Babbitt Academic Annex Building, Room 226b",Seminar Seating,12
025-1220,"Health & Learning Ctr, Room 1220",Gym,40
025-1405,"Health & Learning Ctr, Room 1405",Racquetball Court,20
025-1406,"Health & Learning Ctr, Room 1406",Racquetball Court,20
025-1414,"Health & Learning Ctr, Room 1414",Gym,60
